iter	Passed	Remaining
1013	13934	673190
1014	13945	673032
1015	13961	673123
1016	13975	673141
1017	13989	673127
1018	14003	673095
1019	14016	673059
1020	14031	673135
1021	14045	673128
1022	14064	673353
1023	14079	673417
1024	14094	673427
1025	14109	673469
1026	14121	673373
1027	14135	673366
1028	14151	673477
1029	14168	673605
1030	14180	673531
1031	14196	673619
1032	14208	673504
1033	14223	673573
1034	14235	673486
1035	14251	673556
1036	14267	673638
1037	14280	673614
1038	14295	673661
1039	14310	673671
1040	14320	673517
1041	14332	673398
1042	14345	673357
1043	14361	673434
1044	14375	673427
1045	14388	673391
1046	14398	673228
1047	14414	673283
1048	14428	673305
1049	14446	673495
1050	14461	673510
1051	14476	673573
1052	14498	673934
1053	14509	673804
1054	14526	673954
1055	14541	673985
1056	14555	673963
1057	14568	673929
1058	14583	673947
1059	14596	673933
1060	14618	674262
1061	14631	674251
1062	14645	674229
1063	14659	674238
1064	14674	674271
1065	14693	674494
1066	14712	674732
1067	14725	674684
1068	14739	674666
1069	14754	674716
1070	14770	674777
1071	14788	674959
1072	14803	675027
1073	14817	674998
1074	14832	675062
1075	14847	675102
1076	14860	675063
1077	14873	674991
1078	14889	675083
1079	14904	675121
1080	14916	675033
1081	14928	674949
1082	14943	674959
1083	14958	675007
1084	14971	674969
1085	14989	675139
1086	15002	675073
1087	15014	674975
1088	15030	675091
1089	15046	675173
1090	15062	675266
1091	15087	675717
1092	15104	675842
1093	15120	675954
1094	15137	676060
1095	15154	676216
1096	15168	676180
1097	15183	676212
1098	15198	676292
1099	15214	676343
1100	15228	676346
1101	15241	676303
1102	15256	676349
1103	15270	676317
1104	15281	676186
1105	15295	676203
1106	15310	676235
1107	15328	676409
1108	15341	676330
1109	15352	676204
1110	15365	676172
1111	15379	676135
1112	15393	676119
1113	15406	676093
1114	15420	676082
1115	15434	676083
1116	15453	676287
1117	15472	676478
1118	15486	676494
1119	15497	676367
1120	15512	676382
1121	15527	676433
1122	15544	676534
1123	15557	676513
1124	15571	676514
1125	15587	676577
1126	15603	676657
1127	15618	676683
1128	15633	676709
1129	15646	676669
1130	15660	676688
1131	15675	676713
1132	15689	676694
1133	15700	676545
1134	15713	676492
1135	15735	676839
1136	15751	676932
1137	15766	676947
1138	15779	676928
1139	15798	677120
1140	15814	677185
1141	15828	677171
1142	15843	677217
1143	15855	677148
1144	15871	677203
1145	15888	677314
1146	15902	677334
1147	15917	677357
1148	15932	677398
1149	15951	677597
1150	15972	677897
1151	15988	677976
1152	16003	678007
1153	16016	677948
1154	16034	678112
1155	16045	677963
1156	16061	678045
1157	16075	678033
1158	16087	677936
1159	16097	677758
1160	16107	677569
1161	16117	677418
1162	16129	677302
1163	16139	677122
1164	16150	677009
1165	16162	676897
1166	16175	676869
1167	16188	676809
1168	16204	676874
1169	16217	676825
1170	16226	676615
1171	16237	676498
1172	16251	676471
1173	16265	676466
1174	16272	676191
1175	16284	676066
1176	16296	675986
1177	16307	675880
1178	16320	675826
1179	16335	675839
1180	16349	675828
1181	16362	675805
1182	16380	675952
1183	16396	676025
1184	16414	676186
1185	16428	676170
1186	16441	676128
1187	16453	676041
1188	16464	675919
1189	16476	675813
1190	16489	675772
1191	16510	676053
1192	16521	675908
1193	16534	675863
1194	16547	675799
1195	16559	675740
1196	16573	675717
1197	16585	675634
1198	16594	675439
1199	16601	675110
1200	16611	674976
1201	16620	674762
1202	16637	674861
1203	16648	674718
1204	16662	674728
1205	16678	674783
1206	16689	674693
1207	16700	674548
1208	16710	674357
1209	16723	674323
1210	16736	674282
1211	16750	674272
1212	16761	674160
1213	16778	674280
1214	16793	674293
1215	16807	674276
1216	16824	674420
1217	16841	674505
1218	16857	674607
1219	16872	674611
1220	16884	674520
1221	16897	674474
1222	16911	674476
1223	16922	674346
1224	16934	674274
1225	16947	674237
1226	16964	674323
1227	16978	674310
1228	16992	674330
1229	17007	674362
1230	17024	674461
1231	17038	674453
1232	17051	674401
1233	17063	674314
1234	17078	674362
1235	17093	674394
1236	17112	674573
1237	17126	674563
1238	17136	674395
1239	17148	674308
1240	17162	674322
1241	17180	674461
1242	17195	674506
1243	17210	674526
1244	17227	674627
1245	17241	674650
1246	17256	674648
1247	17269	674631
1248	17283	674603
1249	17303	674839
1250	17318	674860
1251	17331	674839
1252	17342	674705
1253	17355	674632
1254	17369	674628
1255	17388	674838
1256	17405	674949
1257	17419	674933
1258	17434	674952
1259	17447	674916
1260	17457	674762
1261	17471	674728
1262	17484	674678
1263	17499	674712
1264	17512	674673
1265	17526	674667
1266	17538	674593
1267	17548	674417
1268	17559	674320
1269	17570	674165
1270	17584	674158
1271	17598	674151
1272	17611	674132
1273	17622	673984
1274	17636	673986
1275	17646	673841
1276	17658	673739
1277	17672	673752
1278	17684	673670
1279	17699	673677
1280	17710	673567
1281	17717	673309
1282	17736	673474
1283	17750	673462
1284	17761	673357
1285	17776	673372
1286	17789	673332
1287	17802	673287
1288	17814	673208
1289	17826	673112
1290	17840	673103
1291	17858	673242
1292	17872	673237
1293	17884	673169
1294	17895	673038
1295	17906	672929
1296	17915	672737
1297	17929	672718
1298	17946	672846
1299	17959	672782
1300	17973	672776
1301	17982	672598
1302	17996	672593
1303	18005	672392
1304	18020	672415
1305	18031	672283
1306	18039	672089
1307	18053	672068
1308	18061	671853
1309	18074	671793
1310	18084	671649
1311	18098	671646
1312	18112	671631
1313	18123	671492
1314	18132	671307
1315	18142	671172
1316	18155	671112
1317	18164	670920
1318	18183	671121
1319	18197	671119
1320	18211	671096
1321	18221	670937
1322	18232	670823
1323	18241	670634
1324	18250	670441
1325	18263	670401
1326	18275	670325
1327	18287	670255
1328	18301	670258
1329	18309	670031
1330	18320	669917
1331	18329	669731
1332	18340	669609
1333	18351	669488
1334	18358	669226
1335	18372	669205
1336	18379	668964
1337	18387	668745
1338	18400	668714
1339	18410	668564
1340	18421	668434
1341	18429	668202
1342	18441	668130
1343	18452	668017
1344	18463	667913
1345	18471	667702
1346	18481	667536
1347	18497	667614
1348	18505	667409
1349	18515	667257
1350	18525	667083
1351	18530	666782
1352	18541	666658
1353	18548	666413
1354	18556	666202
1355	18565	666015
1356	18577	665930
1357	18583	665641
1358	18589	665333
1359	18601	665285
1360	18607	664982
1361	18616	664795
1362	18627	664687
1363	18636	664503
1364	18645	664350
1365	18654	664174
1366	18663	663976
1367	18672	663816
1368	18682	663667
1369	18692	663531
1370	18701	663331
1371	18711	663206
1372	18721	663037
1373	18730	662863
1374	18740	662727
1375	18748	662516
1376	18757	662359
1377	18767	662213
1378	18773	661913
1379	18786	661899
1380	18797	661795
1381	18810	661732
1382	18822	661661
1383	18832	661534
1384	18846	661536
1385	18860	661532
1386	18870	661391
1387	18879	661204
1388	18889	661067
1389	18902	661059
1390	18917	661092
1391	18927	660942
1392	18937	660799
1393	18946	660612
1394	18956	660499
1395	18968	660436
1396	18978	660276
1397	18991	660229
1398	19001	660112
1399	19010	659931
1400	19019	659780
